"Year","Week","Percent of Deaths Due to Pneumonia and Influenza","Expected","Threshold","All Deaths","Pneumonia Deaths","Influenza Deaths"
2012,1,8.479120191,8.15718,8.49104,51102,4323,10
2012,2,8.3434716063,8.22181,8.55556,50962,4245,7
2012,3,8.3709076652,8.27534,8.60898,51010,4261,9
2012,4,8.4484580268,8.31696,8.65049,50163,4227,11
2012,5,8.1403324726,8.34602,8.67945,49568,4026,9
2012,6,8.1096802664,8.36208,8.6954,49854,4024,19
2012,7,8.1797007619,8.36486,8.69807,50662,4129,15
2012,8,8.2920694805,8.3543,8.6874,50892,4191,29
2012,9,8.4062186757,8.33051,8.6635,50879,4234,43
2012,10,8.6815135987,8.2938,8.62668,50740,4346,59
2012,11,8.5724420621,8.24467,8.57744,50744,4288,62
2012,12,8.3495578811,8.18379,8.51646,49308,4060,57
2012,13,7.9752314287,8.11203,8.44458,48287,3796,55
2012,14,8.0118203798,8.03036,8.36281,48391,3829,48
2012,15,7.7062612098,7.93996,8.2723,49064,3758,23
2012,16,7.6223003927,7.84208,8.17431,48896,3690,37
2012,17,7.5047294348,7.7381,8.07023,48103,3573,37
2012,18,7.4376360288,7.6295,7.96152,47784,3527,27
2012,19,7.1592149477,7.51781,7.84971,46723,3330,15
2012,20,7.1176270321,7.4046,7.7364,46996,3329,16
2012,21,7.0644850818,7.29147,7.62316,46755,3290,13
2012,22,6.835267023,7.18002,7.5116,46026,3138,8
2012,23,6.6387624328,7.07181,7.40328,46349,3068,9
2012,24,6.7474566128,6.96838,7.29974,46788,3153,4
2012,25,6.8266562608,6.87116,7.20241,46128,3147,2
2012,26,6.8624259392,6.78153,7.11267,46077,3159,3
2012,27,6.4470527759,6.70073,7.03176,46688,3004,6
2012,28,6.6078815589,6.62988,6.96081,45930,3033,2
2012,29,6.5570915424,6.56997,6.90079,45935,3011,1
2012,30,6.3302229816,6.52181,6.85252,45654,2889,1
2012,31,6.6202090592,6.48604,6.81665,45920,3039,1
2012,32,6.5704298291,6.46314,6.79364,46344,3040,5
2012,33,6.5833042872,6.45339,6.78377,45904,3018,4
2012,34,6.4252159418,6.45687,6.78715,46193,2964,4
2012,35,6.5238979319,6.47348,6.80365,46322,3017,5
2012,36,6.6676668524,6.50294,6.833,46658,3109,2
2012,37,6.8249065895,6.54475,6.87471,46301,3160,0
2012,38,6.7244091095,6.59828,6.92812,46413,3120,1
2012,39,6.7849840862,6.66267,6.99241,47443,3217,2
2012,40,6.711759671,6.67667,7.03999,47901,3210,5
2012,41,6.914860391,6.76134,7.12446,48027,3315,6
2012,42,6.9522227009,6.85463,7.21755,48747,3382,7
2012,43,7.0867296691,6.95512,7.31783,47723,3376,6
2012,44,6.8482235888,7.06129,7.42379,48947,3349,3
2012,45,6.8875152534,7.17154,7.53383,49989,3434,9
2012,46,7.0681681078,7.28421,7.6463,49730,3495,20
2012,47,6.981922711,7.39762,7.75951,49399,3430,19
2012,48,7.5807853362,7.51007,7.87175,50628,3807,31
2012,49,7.72958051,7.61988,7.98135,51801,3940,64
2012,50,7.8970425031,7.7254,8.08667,51361,3959,97
2012,51,8.2563411812,7.82505,8.18612,52711,4208,144
2012,52,8.9871482142,7.91735,8.27821,54934,4705,232
2013,1,10.16324114,8.00091,8.36156,59115,5599,409
2013,2,11.050250843,8.07448,8.43492,60795,6065,653
2013,3,11.105665224,8.13694,8.49718,59168,5938,633
2013,4,10.627117472,8.18735,8.54739,57852,5646,502
2013,5,10.072938295,8.22494,8.58477,56349,5284,392
2013,6,9.4957621031,8.24912,8.60875,55688,5020,268
2013,7,9.3601852192,8.25951,8.61893,54422,4885,209
2013,8,8.8775433872,8.25591,8.61512,53472,4580,167
2013,9,8.7321182879,8.23833,8.59734,53057,4485,148
2013,10,8.4747351645,8.20699,8.5658,53335,4417,103
2013,11,8.5101567363,8.16231,8.52091,53019,4403,109
2013,12,8.1948952352,8.10488,8.46328,52069,4184,83
2013,13,8.176780646,8.03551,8.3937,51793,4179,56
2013,14,7.9894798364,7.95515,8.31313,51330,4051,50
2013,15,7.8107486284,7.86492,8.2227,50853,3937,35
2013,16,7.7676174327,7.76609,8.12366,49539,3826,22
2013,17,7.470063905,7.66003,8.0174,48353,3585,27
2013,18,7.2651339729,7.54824,7.9054,48368,3504,10
2013,19,7.104395375,7.43229,7.78925,47914,3393,11
2013,20,7.0063156116,7.31381,7.67055,47343,3313,4
2013,21,6.8930519728,7.19445,7.55099,47294,3248,12
2013,22,6.5303231898,7.07589,7.43222,46598,3040,3
2013,23,7.1311492858,6.95979,7.31592,46977,3342,8
2013,24,7.0424654002,6.84777,7.20369,46532,3271,6
2013,25,6.7321147926,6.74139,7.09711,46449,3123,4
2013,26,6.5907767932,6.64213,6.99765,46383,3055,2
2013,27,6.3917835242,6.55137,6.90668,46638,2976,5
2013,28,6.6357856097,6.47035,6.82545,45767,3035,2
2013,29,6.6074138305,6.40017,6.75507,46130,3041,7
2013,30,6.2179195634,6.34179,6.69649,46173,2866,5
2013,31,6.3629664947,6.29599,6.65047,46142,2929,7
2013,32,6.4748201439,6.26334,6.61762,46009,2976,3
2013,33,6.5440342149,6.24426,6.59834,45828,2996,3
2013,34,6.4647957742,6.23895,6.59282,46003,2970,4
2013,35,6.2610762913,6.24741,6.60108,46270,2891,6
2013,36,6.2723503214,6.26946,6.62292,45581,2858,1
2013,37,6.4735429116,6.30469,6.65795,46188,2983,7
2013,38,6.5105788852,6.35254,6.70558,46555,3027,4
2013,39,6.5460625027,6.41223,6.76507,46654,3043,11
2013,40,6.6179567085,6.36132,6.77011,47492,3140,3
2013,41,6.6527143582,6.45326,6.86185,47304,3135,12
2013,42,6.7791269274,6.55439,6.96279,47602,3216,11
2013,43,6.6225442969,6.66322,7.07142,47746,3151,11
2013,44,6.7306312401,6.77811,7.18613,48777,3271,12
2013,45,7.0414189093,6.89738,7.3052,48939,3429,17
2013,46,6.7497824283,7.01924,7.42687,49409,3320,15
2013,47,6.9730394628,7.1419,7.54933,49591,3430,28
2013,48,6.9347508521,7.26355,7.67079,49288,3385,33
2013,49,7.1557899709,7.38238,7.78943,50812,3594,42
2013,50,7.5682765005,7.49666,7.90351,51848,3856,68
2013,51,7.6577605237,7.60468,8.01135,52548,3917,107
2013,52,7.9859106132,7.70487,8.11134,51954,3942,207
2014,1,9.0830983022,7.79573,8.20201,53539,4512,351
2014,2,9.7810898929,7.87593,8.28201,55822,4999,461
2014,3,10.03700447,7.94428,8.35017,54588,5005,474
2014,4,9.6585762612,7.99977,8.40546,54097,4783,442
2014,5,9.2795730803,8.04157,8.44707,53968,4623,385
2014,6,8.9705662073,8.06905,8.47436,53408,4476,315
2014,7,8.6488093027,8.08179,8.48691,53834,4385,271
2014,8,7.9718261728,8.07959,8.48451,52673,3990,209
2014,9,7.793790502,8.06246,8.46718,51695,3868,161
2014,10,8.0149812734,8.03061,8.43515,52065,4048,125
2014,11,7.791530693,7.98451,8.38885,51787,3942,93
2014,12,7.6032607638,7.92477,8.32892,51399,3834,74
2014,13,7.5892155321,7.85226,8.25622,50888,3797,65
2014,14,7.6226222292,7.768,8.17176,50888,3824,55
2014,15,7.4983737754,7.67317,8.07674,50731,3730,74
2014,16,7.3103807407,7.56914,7.97251,49929,3595,55
2014,17,7.1160973655,7.45737,7.86055,49915,3498,54
2014,18,7.1320731928,7.33946,7.74245,49677,3490,53
2014,19,7.0554341347,7.21708,7.61988,50330,3512,39
2014,20,6.7773628987,7.09198,7.49458,47939,3222,27
2014,21,6.7190585912,6.96593,7.36833,48608,3242,24
2014,22,6.5489040186,6.84072,7.24293,48176,3140,15
2014,23,6.7793773016,6.71812,7.12014,47792,3220,20
2014,24,6.7664457869,6.59988,7.00171,47839,3222,15
2014,25,6.4765424839,6.48767,6.88931,47618,3077,7
2014,26,6.3230863235,6.38307,6.78451,47461,2998,3
2014,27,6.3370928639,6.28754,6.68879,47435,3000,6
2014,28,6.3025298591,6.20243,6.60349,47473,2988,4
2014,29,6.2462958259,6.12893,6.52979,47244,2944,7
2014,30,6.336012214,6.06804,6.46871,47159,2985,3
2014,31,6.2305826276,6.02061,6.42108,46994,2923,5
2014,32,6.0389141425,5.98727,6.38755,47078,2842,1
2014,33,6.1473305955,5.96845,6.36854,46752,2869,5
2014,34,6.1631536192,5.96439,6.36428,46778,2877,6
2014,35,6.0647622313,5.97507,6.37477,46663,2825,5
2014,36,6.2498683462,6.00031,6.39981,47473,2966,1
2014,37,6.1420876711,6.03967,6.43899,46971,2881,4
2014,38,6.2310220041,6.09255,6.49168,48082,2990,6
2014,39,6.24315896,6.15813,6.55706,48421,3017,6
2014,40,6.3701773973,6.23541,6.63414,48366,3075,6
2014,41,6.3816855754,6.32322,6.72176,49360,3142,8
2014,42,6.2918883789,6.42025,6.81859,49238,3085,13
2014,43,6.547655438,6.52503,6.92318,49071,3202,11
2014,44,6.4705042137,6.63602,7.03397,49007,3154,17
2014,45,6.3057062822,6.75156,7.14932,51049,3208,11
2014,46,6.4451038576,6.86994,7.2675,50550,3240,18
2014,47,6.4930615042,6.98939,7.38676,52533,3380,31
2014,48,6.6806771295,7.10817,7.50534,51866,3419,46
2014,49,7.0201713809,7.2245,7.62147,52748,3620,83
2014,50,7.3832020017,7.33666,7.73344,53554,3785,169
2014,51,8.0736699498,7.44301,7.83959,54622,4098,312
2014,52,8.5243092739,7.54196,7.93834,56028,4264,512
2014,53,10.191082803,7.63206,8.02824,59346,5034,1014
2015,1,10.811336032,7.71197,8.10795,61750,5576,1100
2015,2,10.746815365,7.7805,8.17628,61153,5589,983
2015,3,10.052350664,7.83664,8.23221,58643,5184,711
2015,4,9.5004538155,7.87954,8.27491,57292,4857,586
2015,5,9.1070743698,7.90856,8.30373,57362,4740,484
2015,6,8.8084730803,7.92325,8.31822,56650,4585,405
2015,7,8.4455345956,7.92338,8.31814,56669,4501,285
2015,8,8.4860105099,7.90891,8.30347,56328,4559,221
2015,9,8.3820041768,7.88004,8.2744,56502,4546,190
2015,10,8.2627574822,7.83716,8.23131,55732,4446,159
2015,11,7.9607014966,7.78086,8.1748,54455,4196,139
2015,12,7.5337078652,7.71192,8.10566,53400,3902,121
2015,13,7.4103316039,7.63133,8.02486,53196,3843,99
2015,14,7.4536747866,7.54022,7.93354,52833,3838,100
2015,15,7.5658703588,7.43988,7.83299,52869,3925,75
2015,16,7.497820401,7.33173,7.72462,51615,3807,63
2015,17,7.1915612798,7.21731,7.60998,51477,3652,50
2015,18,6.9229727377,7.09822,7.49069,51683,3550,28
2015,19,6.8960757247,6.97618,7.36842,50710,3475,22
2015,20,6.5889118374,6.85289,7.24492,49386,3240,14
2015,21,6.803499057,6.73011,7.12192,49842,3373,18
2015,22,6.5126476917,6.60957,7.00116,49258,3198,10
2015,23,6.4752534886,6.49296,6.88433,49805,3214,11
2015,24,6.4261280339,6.38194,6.77309,49112,3150,6
2015,25,6.5256378903,6.27806,6.66898,49068,3198,4
2015,26,6.332507413,6.18276,6.57346,49238,3112,6
2015,27,6.3089935848,6.09738,6.48785,48946,3081,7
2015,28,6.1700572542,6.02309,6.41334,49254,3032,7
2015,29,6.1916704354,5.96092,6.35094,48646,3009,3
2015,30,5.9981929443,5.9117,6.30148,48698,2917,4
2015,31,6.1101566866,5.87608,6.26563,48313,2948,4
2015,32,5.9145809986,5.85451,6.24383,48186,2842,8
2015,33,6.0689228229,5.84725,6.23634,48460,2935,6
2015,34,6.0002061218,5.85434,6.24318,48515,2906,5
2015,35,6.038478894,5.8756,6.26421,48754,2941,3
2015,36,6.048312742,5.91066,6.29903,48807,2949,3
2015,37,6.1653766823,5.95895,6.34708,48967,3013,6
2015,38,6.2052457553,6.01971,6.40759,49297,3051,8
2015,39,6.2721191416,6.09198,6.47962,48883,3060,6
2015,40,6.3023565333,6.17466,6.56206,51092,3206,14
2015,41,6.299716193,6.26649,6.65364,50034,3145,7
2015,42,6.3681885125,6.36607,6.75297,50925,3227,16
2015,43,6.3135165118,6.47191,6.85855,50479,3170,17
2015,44,6.5951459726,6.5824,6.96879,51174,3355,20
2015,45,6.3886808813,6.69589,7.08203,50746,3228,14
